Agent,Role,ExpectedPath
AI_Genesis,System bootstrap & agent recreation,memory/logs/agents/ai_genesis.log
AI_Recursive_Thinker,Analyze & refine logic,memory/logs/agents/ai_recursive_thinker.log
AI_Feedback_Looper,Implement feedback cycles,memory/logs/agents/ai_feedback_looper.log
AI_Sandbox_Engineer,Safe GitHub simulation,memory/logs/agents/ai_sandbox_engineer.log
AI_Hive_Mother,Coordinate agents in real time,memory/logs/agents/ai_hive_mother.log
AI_Project_Manager,Oversee tasks & sequencing,memory/logs/agents/ai_project_manager.log
AI_Watchdog,Monitor failures & escalate,memory/logs/agents/ai_watchdog.log
AI_Evolutionist,Simulate system optimizations,memory/logs/agents/ai_evolutionist.log
AI_Heartbeat,Track system uptime,memory/logs/heartbeat/last_heartbeat.txt
AI_Fitness_Tracker,Log pool laps & steps,memory/logs/fitness/fitness_events.csv
AI_Weight_Monitor,Track BMI & body weight,memory/logs/fitness/bmi_log.csv
AI_Sleep_Analyzer,Track nightly sleep,memory/logs/fitness/sleep_log.csv
AI_Weather_Agent,Check hot-weather swim reminders,memory/logs/fitness/weather_swim_alerts.log
AI_Geofence_Manager,Trigger location reminders,memory/logs/geofence/geofence_log.csv
AI_Kitchen_Agent,Log kitchen entries,memory/logs/kitchen/kitchen_log.md
AI_Barcode_Agent,Log UPC scans,memory/logs/nutrition/barcode_log.csv
AI_Nutrition_Agent,Keto classification & alerts,memory/logs/nutrition/keto_log.csv
AI_Finance_Agent,Log bills & reminders,memory/logs/finance/finance_log.csv
AI_Reminder_Agent,Daily & weekly reminders,memory/logs/reminders/reminder_log.csv
AI_Scheduler,Heartbeat scheduling,memory/logs/scheduler/state.json
AI_VPN_Manager,VPN auto-activation,memory/logs/vpn/vpn_log.csv
AI_Security_Auditor,Monthly audits,memory/logs/security/security_audit_log.txt
AI_Twilio_Agent,SMS/voice alerts,memory/logs/twilio/twilio_log.csv
AI_GitHub_Sync,Memory folder syncs,memory/logs/system/github_sync_log.md
AI_GitHub_Absorber,Absorb memory into index,memory/logs/system/absorb_log.csv
AI_Backup_Agent,Zip backups & syncs,memory/logs/system/backup_log.csv
AI_Movie_Tracker,Track movies & streaming,memory/logs/media/movies_log.csv
AI_Movie_Monitor,Watch movie share links,memory/logs/system/movies_monitor_status.json
AI_Comic_Agent,Handle CBZ/webcomics,memory/logs/media/comics_log.csv
AI_Event_Planner,Reunion planning & venues,memory/logs/events/reunion_log.csv
AI_Contract_Agent,Track contracts & invoices,memory/logs/events/contracts_log.csv
AI_UI_Agent,UI improvements,memory/logs/agents/ui_agent.log
AI_Prompt_Optimizer,Prompt refinement,memory/logs/agents/prompt_optimizer.log
AI_Memory_Refactorer,Refactor memory structure,memory/logs/agents/memory_refactorer.log
AI_Behavioral_Nudger,Health nudges,memory/logs/agents/behavioral_nudger.log
AI_Offline_Mode,Edge NLP + offline logs,memory/logs/agents/offline_mode.log
AI_Knowledge_Sharer,Knowledge sharing tasks,memory/logs/agents/knowledge_sharer.log
AI_Consensus_Agent,Consensus decision-making,memory/logs/agents/consensus_agent.log
AI_Calendar_Agent,Google Calendar sync,memory/logs/calendar/calendar_log.csv
AI_Gmail_Agent,Gmail parser,memory/logs/email/gmail_log.csv
AI_Transport_Agent,Transit geofence logs,memory/logs/transit/transit_log.md
AI_Watchdog_Escalator,Voice-call fallback,memory/logs/watchdog/failure_log.txt
AI_Perplexity_Agent,Handle Perplexity syncs,memory/logs/system/perplexity_log.csv
AI_Status_Agent,Daily project status,memory/logs/system/status_log.csv
AI_Update_Agent,Apply daily updates,memory/logs/system/update_log.csv
AI_Recovery_Agent,Support recovery,memory/logs/support_recovery/find_scan.log
AI_Creative_Agent,Generate creative outputs,memory/logs/agents/creative_agent.log
AI_Testing_Agent,Run automated tests,memory/logs/agents/testing_agent.log
AI_Dashboard,Web dashboard logs,memory/ai-dashboard/dashboard.log
AI_MCL,Master control loop logs,memory/logs/system/mcl_log.csv
AI_Sync_Agent,GitHub visibility checks,memory/logs/system/sync_visibility.log
AI_Heartbeat_Scheduler,Schedule heartbeat tasks,memory/logs/system/heartbeat_schedule_status.csv
AI_Audit_Agent,Audit log consistency,memory/logs/system/audit_log.csv
AI_Role_Checker,Audit agent duties,memory/logs/system/role_checker_report.md
AI_Finalizer,End-of-day summaries,memory/logs/system/finalizer_log.csv
